reference_number,gazetted_name,local_name,waterbody_id,reach_number,site_number,temperature_c,conductivity_m_s_cm,turbidity,sampling_method,method_number,haul_number_pass_number,ef_seconds,ef_length_m,ef_width_m,enclosure,voltage,frequency,pulse,make,model,gill_net_type,length_m,depth_m,mesh_size,set,date_in,time_in,date_out,time_out,soak_time,habitat,species,stage,age,total_number,min_length_mm,max_length_mm,fish_activity,comments,utm_zone,utm_easting,utm_northing,species_code
8,Unnamed tributary to Parsnip River,125403_ds,00000PARS,0,8,NA,NA,NA,visual observation above water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Unidentified Species,parr,NA,1,NA,NA,NA,Observed approximately 20 m downstream of the culvert.,10,520223,6084881,SP
9,Unnamed tributary to Wichcika Creek,57695_ds,00000PARS,0,9,NA,NA,NA,minnow trapping,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43709,0.58333333333333337,43710,0.36458333333333331,18.75,NA,No Fish Caught,NA,NA,NA,NA,NA,NA,traps left overnight.  No fish captured.,10,563196,6038338,NFC
9,Unnamed tributary to Wichcika Creek,57695_ds,00000PARS,0,9,NA,NA,NA,minnow trapping,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43709,0.58333333333333337,43710,0.36458333333333331,18.75,NA,No Fish Caught,NA,NA,NA,NA,NA,NA,traps left overnight.  No fish captured.,10,563196,6038338,NFC
9,Unnamed tributary to Wichcika Creek,57695_ds,00000PARS,0,9,NA,NA,NA,minnow trapping,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43709,0.58333333333333337,43710,0.36458333333333331,18.75,NA,No Fish Caught,NA,NA,NA,NA,NA,NA,traps left overnight.  No fish captured.,10,563196,6038338,NFC
10,Unnamed tributary to Wichcika Creek,57695_us,00000PARS,0,10,NA,NA,NA,minnow trapping,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43709,0.58333333333333337,43710,0.36458333333333331,18.75,NA,No Fish Caught,NA,NA,NA,NA,NA,NA,traps left overnight.  No fish captured.,10,563257,6038803,NFC
10,Unnamed tributary to Wichcika Creek,57695_us,00000PARS,0,10,NA,NA,NA,minnow trapping,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43709,0.58333333333333337,43710,0.36458333333333331,18.75,NA,No Fish Caught,NA,NA,NA,NA,NA,NA,traps left overnight.  No fish captured.,10,563257,6038803,NFC
10,Unnamed tributary to Wichcika Creek,57695_us,00000PARS,0,10,NA,NA,NA,minnow trapping,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43709,0.58333333333333337,43710,0.36458333333333331,18.75,NA,No Fish Caught,NA,NA,NA,NA,NA,NA,traps left overnight.  No fish captured.,10,563257,6038803,NFC
11,Unnamed tributary to Wichcika Creek,57690_us,00000PARS,0,11,NA,NA,NA,visual observation above water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Rainbow Trout,juvenile,NA,1,120,120,NA,NA,10,555027,6046138,RB
13,Unnamed tributary to Parsnip River,125000_us,00000PARS,0,13,NA,NA,NA,minnow trapping,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43709,0.79166666666666663,43710,0.41666666666666669,15,NA,No Fish Caught,NA,NA,NA,NA,NA,NA,traps left overnight.  No fish captured.,10,577534,6038205,NFC
13,Unnamed tributary to Parsnip River,125000_us,00000PARS,0,13,NA,NA,NA,minnow trapping,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43709,0.79166666666666663,43710,0.41666666666666669,15,NA,No Fish Caught,NA,NA,NA,NA,NA,NA,traps left overnight.  No fish captured.,10,577534,6038205,NFC
13,Unnamed tributary to Parsnip River,125000_us,00000PARS,0,13,NA,NA,NA,minnow trapping,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43709,0.79166666666666663,43710,0.41666666666666669,15,NA,No Fish Caught,NA,NA,NA,NA,NA,NA,traps left overnight.  No fish captured.,10,577534,6038205,NFC
14,Unnamed tributary to Parsnip River,125000_ds,00000PARS,0,14,NA,NA,NA,minnow trapping,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43709,0.79166666666666663,43710,0.375,14.000000000058208,NA,No Fish Caught,NA,NA,NA,NA,NA,NA,trap left overnight.  No fish captured.,10,577330,6038336,NFC
14,Unnamed tributary to Parsnip River,125000_ds,00000PARS,0,14,NA,NA,NA,minnow trapping,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43709,0.79166666666666663,43710,0.375,14.000000000058208,NA,Sculpin (General),NA,NA,2,58,58,NA,margin/small woody debris cover,10,577330,6038336,CC
14,Unnamed tributary to Parsnip River,125000_ds,00000PARS,0,14,NA,NA,NA,minnow trapping,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43709,0.79166666666666663,43710,0.375,14.000000000058208,NA,Sculpin (General),NA,NA,2,55,63,NA,deep pool habitat,10,577330,6038336,CC
14,Unnamed tributary to Parsnip River,125000_ds,00000PARS,0,14,NA,NA,NA,electrofishing,4,1,45,70,4,Open,400,50,5,Dirigo,850,NA,NA,NA,NA,NA,43716,0.77083333333333337,43716,0.78125,0.24999999994179234,NA,Sculpin (General),NA,NA,1,57,57,NA,NA,10,577330,6038336,CC
14,Unnamed tributary to Parsnip River,125000_ds,00000PARS,0,14,NA,NA,NA,electrofishing,4,1,45,70,4,Open,400,50,5,Dirigo,850,NA,NA,NA,NA,NA,43716,0.77083333333333337,43716,0.78125,0.24999999994179234,NA,Rainbow Trout,NA,NA,1,61,61,NA,NA,10,577330,6038336,RB
17,Unnamed tributary to Table River,125231_ds,00000PARS,0,17,NA,NA,NA,minnow trapping,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43712,0.46527777777777773,43713,0.55555555555555558,26.166666666569654,NA,No Fish Caught,NA,NA,NA,NA,NA,NA,traps left overnight.,10,549707,6064992,NFC
17,Unnamed tributary to Table River,125231_ds,00000PARS,0,17,NA,NA,NA,minnow trapping,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43712,0.46527777777777773,43713,0.55555555555555558,19.333333333313931,NA,No Fish Caught,NA,NA,NA,NA,NA,NA,traps left overnight.,10,549707,6064992,NFC
17,Unnamed tributary to Table River,125231_ds,00000PARS,0,17,NA,NA,NA,minnow trapping,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43712,0.46527777777777773,43713,0.55555555555555558,19.333333333313931,NA,No Fish Caught,NA,NA,NA,NA,NA,NA,traps left overnight.,10,549707,6064992,NFC
18,Unnamed tributary to Table River,125231_us,00000PARS,0,18,NA,NA,NA,minnow trapping,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43712,0.4513888888888889,43713,0.49305555555555558,24.999999999941792,NA,No Fish Caught,NA,NA,NA,NA,NA,NA,traps left overnight.,10,549976,6065139,NFC
18,Unnamed tributary to Table River,125231_us,00000PARS,0,18,NA,NA,NA,minnow trapping,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43712,0.4513888888888889,43713,0.49305555555555558,24.999999999941792,NA,No Fish Caught,NA,NA,NA,NA,NA,NA,traps left overnight.,10,549976,6065139,NFC
18,Unnamed tributary to Table River,125231_us,00000PARS,0,18,NA,NA,NA,minnow trapping,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43712,0.4513888888888889,43713,0.49305555555555558,24.999999999941792,NA,Rainbow Trout,juvenile,NA,1,88,88,NA,traps left overnight.,10,549976,6065139,RB
19,Unnamed tributary to Parsnip River,125247_us,00000PARS,0,19,NA,NA,NA,visual observation above water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unidentified Species,adult,NA,1,200,200,NA,Visual observation 5 m below culvert under railway.,10,542959,6062815,SP
21,Unnamed tributary to Table River,CV1_ds,00000PARS,0,21,NA,NA,NA,minnow trapping,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43713,0.70833333333333337,43714,0.40277777777777773,16.666666666686069,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,547525,6063831,NA
21,Unnamed tributary to Table River,CV1_ds,00000PARS,0,21,NA,NA,NA,minnow trapping,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43713,0.70833333333333337,43714,0.40416666666666662,16.699999999953434,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,547525,6063831,NA
21,Unnamed tributary to Table River,CV1_ds,00000PARS,0,21,NA,NA,NA,minnow trapping,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43713,0.70833333333333337,43714,0.4055555555555555,16.733333333220799,NA,Rainbow Trout,juvenile,NA,1,102,102,NA,Downstream of bridge below culvert.,10,547525,6063831,RB
22,Unnamed tributary to Table River,CV1_us,00000PARS,0,22,NA,NA,NA,minnow trapping,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43713,0.68055555555555547,43714,0.4145833333333333,17.616666666639503,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,547303,6063955,NA
